Kochi,2018,Insult to the modesty of women,16,1.5
Kochi,2018,Sexual harassment and molestation of women,124,0
Kolkata,2018,Assault on women with intent to outrage her modesty,486,7.2
Kolkata,2018,Insult to the modesty of women,377,5.5
Kolkata,2018,Sexual harassment and molestation of women,863,0
Kollam,2018,Assault on women with intent to outrage her modesty,171,29.5
Kollam,2018,Insult to the modesty of women,41,7.1
Kollam,2018,Sexual harassment and molestation of women,212,0
Kota,2018,Assault on women with intent to outrage her modesty,73,15.5
Kota,2018,Insult to the modesty of women,0,0
Kota,2018,Sexual harassment and molestation of women,73,0
Kozhikode,2018,Assault on women with intent to outrage her modesty,103,9.7
Kozhikode,2018,Insult to the modesty of women,83,7.8
Kozhikode,2018,Sexual harassment and molestation of women,186,0
Lucknow,2018,Assault on women with intent to outrage her modesty,110,8
Lucknow,2018,Insult to the modesty of women,2,0.1
Lucknow,2018,Sexual harassment and molestation of women,112,0
Ludhiana,2018,Assault on women with intent to outrage her modesty,30,4.1
Ludhiana,2018,Insult to the modesty of women,14,1.9
Ludhiana,2018,Sexual harassment and molestation of women,44,0
Madurai,2018,Assault on women with intent to outrage her modesty,28,3.8
Madurai,2018,Insult to the modesty of women,8,1.1
Madurai,2018,Sexual harassment and molestation of women,36,0
Malappuram,2018,Assault on women with intent to outrage her modesty,33,3.7
Malappuram,2018,Insult to the modesty of women,4,0.4
Malappuram,2018,Sexual harassment and molestation of women,37,0
Meerut,2018,Assault on women with intent to outrage her modesty,63,9.4
Meerut,2018,Insult to the modesty of women,0,0
Meerut,2018,Sexual harassment and molestation of women,63,0
Mumbai,2018,Assault on women with intent to outrage her modesty,614,7.2
Mumbai,2018,Insult to the modesty of women,235,2.8
Mumbai,2018,Sexual harassment and molestation of women,849,0
Nagpur,2018,Assault on women with intent to outrage her modesty,84,6.9
Nagpur,2018,Insult to the modesty of women,53,4.3
Nagpur,2018,Sexual harassment and molestation of women,137,0
Nasik,2018,Assault on women with intent to outrage her modesty,36,4.9
Nasik,2018,Insult to the modesty of women,16,2.2
Nasik,2018,Sexual harassment and molestation of women,52,0
Patna,2018,Assault on women with intent to outrage her modesty,15,1.6
Patna,2018,Insult to the modesty of women,1,0.1
Patna,2018,Sexual harassment and molestation of women,16,0
Pune,2018,Assault on women with intent to outrage her modesty,120,5
Pune,2018,Insult to the modesty of women,85,3.6
Pune,2018,Sexual harassment and molestation of women,205,0
Raipur,2018,Assault on women with intent to outrage her modesty,89,16.4
Raipur,2018,Insult to the modesty of women,26,4.8
Raipur,2018,Sexual harassment and molestation of women,115,0
